county,prop2_yes,prop2_no,prop3_yes,prop3_no,prop4_yes,prop4_no,prop5_yes,prop5_no,prop6_yes,prop6_no,prop32_yes,prop32_no,prop33_yes,prop33_no,prop34_yes,prop34_no,prop35_yes,prop35_no,prop36_yes,prop36_no,prop2_total,prop2_yes_pct,prop2_outcome,prop3_total,prop3_yes_pct,prop3_outcome,prop4_total,prop4_yes_pct,prop4_outcome,prop5_total,prop5_yes_pct,prop5_outcome,prop6_total,prop6_yes_pct,prop6_outcome,prop32_total,prop32_yes_pct,prop32_outcome,prop33_total,prop33_yes_pct,prop33_outcome,prop34_total,prop34_yes_pct,prop34_outcome,prop35_total,prop35_yes_pct,prop35_outcome,prop36_total,prop36_yes_pct,prop36_outcome,num_yes_props,prop2_matches_state,prop3_matches_state,prop4_matches_state,prop5_matches_state,prop6_matches_state,prop32_matches_state,prop33_matches_state,prop34_matches_state,prop35_matches_state,prop36_matches_state,match_state_count
Nevada,31407,28310,37848,22179,33353,27076,24297,35088,25503,33128,24554,35359,18629,40208,22905,33567,38246,21107,39583,20102,59717,0.5259306395163856,Yes,60027,0.6305162676795442,Yes,60429,0.5519369838984594,Yes,59385,0.40914372316241476,No,58631,0.43497467210178914,No,59913,0.40982758332916064,No,58837,0.31662049390689534,No,56472,0.40559923501912454,No,59353,0.6443819183529055,Yes,59685,0.6631984585741811,Yes,5,1,1,1,1,1,1,1,0,1,1,9
Orange,711878,620772,767402,566501,706429,629160,509400,812308,550614,752443,516820,825857,475292,846721,708486,571660,857322,463356,998326,341060,1332650,0.5341822684125614,Yes,1333903,0.5753057006394018,Yes,1335589,0.5289269378528874,Yes,1321708,0.38541039321847187,No,1303057,0.42255557508228725,No,1342677,0.38491759373252094,No,1322013,0.35952142679383636,No,1280146,0.5534415605719972,Yes,1320678,0.6491529350833436,Yes,1339386,0.7453609340399258,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Placer,103936,122453,121006,105599,104585,122698,67024,157681,74911,145835,69454,157346,63207,159375,90454,124423,130840,92375,173510,52600,226389,0.45910357835407195,No,226605,0.5339952781271375,Yes,227283,0.4601532010753114,No,224705,0.2982755167886785,No,220746,0.3393538274759226,No,226800,0.30623456790123454,No,222582,0.28397174973717554,No,214877,0.42095710569302436,No,223215,0.5861613242837623,Yes,226110,0.767369864225377,Yes,3,0,1,0,1,1,1,1,0,1,1,7
Plumas,4229,5585,4870,4968,4389,5481,2908,6788,3127,6419,3242,6517,2565,7022,4079,5263,5807,3845,6958,2773,9814,0.4309150193600978,No,9838,0.4950193128684692,No,9870,0.44468085106382976,No,9696,0.2999174917491749,No,9546,0.32757175780431597,No,9759,0.3322061686648222,No,9587,0.2675498070303536,No,9342,0.4366302718903875,No,9652,0.6016369664318276,Yes,9731,0.7150344260610421,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Riverside,487109,403031,488115,418428,492029,413340,361087,536794,347454,542863,410507,498318,355210,545386,501520,379962,591690,301706,657958,242098,890140,0.5472274024310783,Yes,906543,0.5384355733815164,Yes,905369,0.5434568667581947,Yes,897881,0.40215462850867767,No,890317,0.3902587505349218,No,908825,0.4516898192721371,No,900596,0.3944165863494841,No,881482,0.5689509258271865,Yes,893396,0.6622930928725895,Yes,900056,0.7310189588203401,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Sacramento,379730,247421,393738,234223,375420,252543,288002,335627,276854,347262,310206,325997,252092,372068,329018,279788,449563,177094,426960,196977,627151,0.6054841656953429,Yes,627961,0.6270102761158735,Yes,627963,0.5978377706966812,Yes,623629,0.4618162401042928,No,624116,0.4435938190977318,No,636203,0.48758965298811857,No,624160,0.403890028197898,No,608806,0.5404315989001423,Yes,626657,0.7173988322160288,Yes,623937,0.6842998571971208,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Benito,13856,13002,15863,10987,15030,11853,10638,16088,10276,16272,13938,13219,10889,15737,13985,12118,18099,8528,18862,8043,26858,0.5158984287735497,Yes,26850,0.5908007448789572,Yes,26883,0.5590893873451623,Yes,26726,0.3980393624186186,No,26548,0.3870724725026367,No,27157,0.5132378392311374,Yes,26626,0.40896116577781116,No,26103,0.5357621729303145,Yes,26627,0.6797235888383971,Yes,26905,0.7010592826612154,Yes,7,1,1,1,1,1,0,1,1,1,1,9
San Bernardino,382663,309179,368109,365924,391779,342089,297555,433680,280975,428374,315455,396600,280745,436620,392105,312291,482320,243904,533475,196288,691842,0.5531075014237354,Yes,734033,0.5014883527034888,Yes,733868,0.5338548621822998,Yes,731235,0.4069211676136946,No,709349,0.3961026236732553,No,712055,0.4430205531876049,No,717365,0.39135586486656027,No,704396,0.5566542115514569,Yes,726224,0.6641477009848201,Yes,729763,0.7310250040081506,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Diego,783150,624625,929477,488011,811585,605458,594029,806241,627728,756244,661731,761603,557730,835944,736187,602270,908009,472535,912939,485821,1407775,0.5563033865496972,Yes,1417488,0.6557212477283758,Yes,1417043,0.5727313850038425,Yes,1400270,0.4242246138244767,No,1383972,0.45356986991066295,No,1423334,0.4649161756832901,No,1393674,0.4001868442691763,No,1338457,0.5500266351477858,Yes,1380544,0.657718261786658,Yes,1398760,0.6526773713860848,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Francisco,290905,91500,327877,59058,307522,76512,236111,142165,250157,123922,271306,110945,161551,217308,172688,191865,290384,80795,241916,136902,382405,0.7607248859193787,Yes,386935,0.847369713259333,Yes,384034,0.800767640365176,Yes,378276,0.6241765271917858,Yes,374079,0.6687277286348605,Yes,382251,0.7097587710692712,Yes,378859,0.4264145763991353,No,364553,0.4736979259531536,No,371179,0.7823287416583373,Yes,378818,0.638607457934945,Yes,8,1,1,1,0,0,0,1,0,1,1,6
San Joaquin,142288,109106,130128,120858,140419,110857,99359,149903,99537,146856,111555,141524,98164,150520,127443,114836,172882,76233,190189,61527,251394,0.5659960062690438,Yes,250986,0.5184671654992709,Yes,251276,0.5588237635110397,Yes,249262,0.39861270470428706,No,246393,0.40397657400981357,No,253079,0.4407912153912415,No,248684,0.39473387913979185,No,242279,0.5260175252498153,Yes,249115,0.69398470585874,Yes,251716,0.7555697691048642,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Luis Obispo,75017,69977,87056,58764,76170,69655,56497,87050,57397,84131,57853,87207,47436,94919,74925,61958,89255,53206,94611,48651,144994,0.5173800295184628,Yes,145820,0.5970100123439858,Yes,145825,0.5223384193382479,Yes,143547,0.3935784098587919,No,141528,0.4055522582103895,No,145060,0.39882117744381634,No,142355,0.3332232798285975,No,136883,0.5473652681487109,Yes,142461,0.6265223464667523,Yes,143262,0.6604054110650417,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Mateo,199676,113037,236724,77562,215636,99515,144100,165456,166344,139111,179270,134407,117780,191353,130330,166052,223277,84677,211157,101540,312713,0.6385279793292892,Yes,314286,0.7532120425345068,Yes,315151,0.6842307338386996,Yes,309556,0.4655054335887529,No,305455,0.5445777610449984,Yes,313677,0.5715114592399188,Yes,309133,0.3810010577971294,No,296382,0.43973655620111884,No,307954,0.7250336089156173,Yes,312697,0.6752767055648119,Yes,7,1,1,1,1,0,0,1,0,1,1,7
Santa Barbara,104803,71156,117376,60284,107805,69316,83517,91230,84732,87616,89495,87224,66789,107011,83744,83067,114809,58228,105274,68877,175959,0.5956103410453572,Yes,177660,0.6606776989755713,Yes,177121,0.6086517126709989,Yes,174747,0.47793095160431937,No,172348,0.4916332072318797,No,176719,0.5064254551010361,Yes,173800,0.38428653624856157,No,166811,0.5020292426758427,Yes,173037,0.6634939348231881,Yes,174151,0.6044983950709442,Yes,7,1,1,1,1,1,0,1,1,1,1,9
Santa Clara,436491,283194,505248,218403,459658,257378,328197,380444,343670,355371,413670,301434,285743,424147,335059,351821,499445,206711,497158,218760,719685,0.6065028449946852,Yes,723651,0.6981929134347911,Yes,717036,0.6410528899525267,Yes,708641,0.46313577678965795,No,699041,0.4916306768844746,No,715104,0.5784752986978118,Yes,709890,0.4025172914113454,No,686880,0.48779845096668994,No,706156,0.7072728972068495,Yes,715918,0.694434278786118,Yes,6,1,1,1,1,1,0,1,0,1,1,8
Santa Cruz,80313,47839,103970,26174,85854,43781,63953,62813,71019,54367,79913,49155,54342,71199,54663,64018,97292,28872,67455,58907,128152,0.6267011049378862,Yes,130144,0.798884312761249,Yes,129635,0.6622748486134146,Yes,126766,0.5044964738179007,Yes,125386,0.5664029476975101,Yes,129068,0.619154244274336,Yes,125541,0.4328625707936053,No,118681,0.46058762565195777,No,126164,0.771155004597191,Yes,126362,0.5338234595843687,Yes,8,1,1,1,0,0,0,1,0,1,1,6
Shasta,36949,48064,34720,50161,35004,49854,23664,60237,24727,58731,21219,63832,21293,62454,43197,38307,51765,31660,69036,15516,85013,0.4346276451836778,No,84881,0.40904324878359116,No,84858,0.41250088382945627,No,83901,0.28204669789394643,No,83458,0.2962807639770903,No,85051,0.24948560275599346,No,83747,0.25425388372120794,No,81504,0.5299985276796231,Yes,83425,0.6204974528019179,Yes,84552,0.8164916264547261,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Sierra,676,1043,763,932,770,960,461,1233,550,1111,578,1128,461,1204,640,983,916,784,1183,517,1719,0.3932518906340896,No,1695,0.45014749262536874,No,1730,0.44508670520231214,No,1694,0.27213695395513576,No,1661,0.33112582781456956,No,1706,0.3388042203985932,No,1665,0.2768768768768769,No,1623,0.3943314849044978,No,1700,0.5388235294117647,Yes,1700,0.6958823529411765,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Siskiyou,9888,10772,9955,10762,9689,11094,6826,13605,7026,13120,7301,13341,5935,14257,9182,10413,12552,7755,14846,5604,20660,0.4786060019361084,No,20717,0.4805232417821113,No,20783,0.4661983351777895,No,20431,0.3341001419411678,No,20146,0.3487540951057282,No,20642,0.3536963472531731,No,20192,0.2939282884310618,No,19595,0.46858892574636385,No,20307,0.6181119810902644,Yes,20450,0.7259657701711492,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Solano,110786,72307,111727,70800,111320,71979,82753,99281,84041,96179,96386,87713,75268,106356,89527,86603,132606,48236,127364,54181,183093,0.605080478226912,Yes,182527,0.6121121806636827,Yes,183299,0.6073137332991451,Yes,182034,0.4546018875594669,No,180220,0.4663244922872045,No,184099,0.5235552610280338,Yes,181624,0.41441659692551647,No,176130,0.5083006869925624,Yes,180842,0.73326992623395,Yes,181545,0.7015560880222534,Yes,7,1,1,1,1,1,0,1,1,1,1,9
Sonoma,146876,93697,184233,58225,159039,82968,114839,123739,121987,114239,140490,101085,97452,138743,94718,132596,170136,68013,142436,96301,240573,0.610525703216903,Yes,242458,0.7598553151473657,Yes,242007,0.6571669414521067,Yes,238578,0.4813478191618674,No,236226,0.516399549583873,Yes,241575,0.5815585221980751,Yes,236195,0.412591291094223,No,227314,0.4166835302709028,No,238149,0.7144098862476853,Yes,238737,0.5966230621981511,Yes,7,1,1,1,1,0,0,1,0,1,1,7
Stanislaus,100678,87163,93352,95431,99588,90615,73597,114808,65252,120613,78295,111911,67938,119765,102549,81110,119584,68543,142250,46855,187841,0.5359745742409804,Yes,188783,0.4944936779265082,No,190203,0.5235879560259302,Yes,188405,0.3906318834425838,No,185865,0.35107201463427756,No,190206,0.41163265091532336,No,187703,0.36194413514967794,No,183659,0.558366320191224,Yes,188127,0.6356557006702919,Yes,189105,0.7522275984241559,Yes,5,1,0,1,1,1,1,1,1,1,1,9
Sutter,17337,20302,16028,21457,16490,21147,11349,25993,11563,25293,11813,25969,11122,26213,20483,16180,22516,14768,30070,7678,37639,0.4606126623980446,No,37485,0.4275843670801654,No,37637,0.43813268857772936,No,37342,0.3039205184510739,No,36856,0.3137345344041676,No,37782,0.31266211423429147,No,37335,0.2978974152939601,No,36663,0.5586831410413768,Yes,37284,0.603905160390516,Yes,37748,0.7965984952845184,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Tehama,10833,14779,9735,15865,9971,15771,6513,19034,6806,18346,6702,18986,6388,19029,12597,12250,15481,9891,20957,4677,25612,0.4229657972825238,No,25600,0.3802734375,No,25742,0.387343640742755,No,25547,0.25494187184405215,No,25152,0.2705947837150127,No,25688,0.26090003114294613,No,25417,0.25132785143801395,No,24847,0.5069827343341249,Yes,25372,0.6101608071890273,Yes,25634,0.8175470078801592,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Trinity,2487,2983,2873,2594,2746,2731,1923,3484,2019,3310,1981,3473,1721,3582,2254,2952,3332,2062,3757,1623,5470,0.4546617915904936,No,5467,0.5255167367843424,Yes,5477,0.5013693627898484,Yes,5407,0.3556500832254485,No,5329,0.3788703321448677,No,5454,0.36321965529886324,No,5303,0.3245332830473317,No,5206,0.4329619669611986,No,5394,0.617723396366333,Yes,5380,0.6983271375464684,Yes,4,0,1,1,1,1,1,1,0,1,1,8
Tulare,71653,62351,58504,75000,67480,66587,48985,85001,40788,91972,46963,87281,44854,88737,66501,63892,83155,48450,101761,31009,134004,0.534707919166592,Yes,133504,0.43821907957814,No,134067,0.5033304243400688,Yes,133986,0.3655978982878808,No,132760,0.30723109370292256,No,134244,0.3498331396561485,No,133591,0.33575615123773306,No,130393,0.5100043714003052,Yes,131605,0.6318528931271609,Yes,132770,0.7664457332228666,Yes,5,1,0,1,1,1,1,1,1,1,1,9
Tuolumne,11774,16072,12935,15010,11954,16085,8330,19400,8177,19301,8915,19026,7332,20119,14721,11904,15820,11733,21053,6648,27846,0.4228255404725993,No,27945,0.4628735015208445,No,28039,0.4263347480295303,No,27730,0.3003966822935449,No,27478,0.29758352136254457,No,27941,0.31906517304319815,No,27451,0.26709409493278935,No,26625,0.5529014084507042,Yes,27553,0.5741661525060792,Yes,27701,0.7600086639471499,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Ventura,211275,165402,232949,142671,212037,165032,156150,218179,157540,212731,171032,200725,140440,226962,194700,167804,248667,122770,257712,116268,376677,0.5608916923518027,Yes,375620,0.62017198232256,Yes,377069,0.5623294410306867,Yes,374329,0.417146413983421,No,370271,0.4254721541789662,No,371757,0.46006396651576165,No,367402,0.38225159362224487,No,362504,0.5370975216825193,Yes,371437,0.669472885038378,Yes,373980,0.6891063693245628,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Yolo,55949,34034,63657,26736,57189,33081,43663,45065,45429,42366,45241,44322,36061,51369,37801,46971,63732,24296,53424,35457,89983,0.6217730015669627,Yes,90393,0.7042248846702731,Yes,90270,0.6335327351279495,Yes,88728,0.49209945000450817,No,87795,0.5174440457884846,Yes,89563,0.5051304668222368,Yes,87430,0.4124556788287773,No,84772,0.44591374510451565,No,88028,0.7239969100740673,Yes,88881,0.6010733452593918,Yes,7,1,1,1,1,0,0,1,0,1,1,7
Yuba,12354,15843,12824,15479,12683,15658,8834,19419,8737,19647,9864,19069,8421,19921,13659,14197,16695,11832,22086,6756,28197,0.4381317161400149,No,28303,0.4530968448574356,No,28341,0.44751420203944814,No,28253,0.3126747602024564,No,28384,0.3078142615558061,No,28933,0.3409255867003076,No,28342,0.2971208806717945,No,27856,0.4903431935669156,No,28527,0.5852350404879588,Yes,28842,0.7657582691907635,Yes,2,0,0,0,1,1,1,1,0,1,1,6
